#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-11-02T18:27:04 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5dbdc9ad607b	
#INFO	-out.max=unlimited	
#INFO	queryParameters=22	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/ApJ/810/71&tab:{J/ApJ/810/71/table3}&key:source=J/ApJ/810/71&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/810/71/table3
#-order=I
#-out=ID
#-out=HRG14
#-out=RAJ2000
#-out=DEJ2000
#-out=zphot
#-out=b_zphot
#-out=B_zphot
#-out=1500Mag
#-out=b_1500Mag
#-out=B_1500Mag
#

#RESOURCE=yCat_18100071
#Name: J/ApJ/810/71
#Title: UV mag of candidate galaxies at 3~<z~<8.5 (Finkelstein+, 2015)
#Table	J_ApJ_810_71_table3:
#Name: J/ApJ/810/71/table3
#Title: Catalog of candidate galaxies at 3.5~<z~<8.5
#Column	_RAJ2000	(F12.8)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F12.8)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	ID	(a19)	Catalog identifier	[ucd=meta.id]
#Column	HRG14	(A25)	IAU designation (JHHMMSS.ss+DDMMSS.s) (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	zphot	(F5.2)	[2.8/8.4] Photometric redshift	[ucd=src.redshift]
#Column	b_zphot	(F5.2)	[0.2/8] Lower 68% confidence boundary in zphot	[ucd=stat.fit.param]
#Column	B_zphot	(F5.2)	[3.5/9.7] Upper 68% confidence boundary in zphot	[ucd=stat.fit.param]
#Column	1500Mag	(F6.2)	[-22.8/-15.4] Absolute AB magnitude at 1500 Angstroms	[ucd=phys.magAbs]
#Column	b_1500Mag	(F6.2)	[-23/-16] Lower 68% confidence boundary in 1500Mag	[ucd=stat.fit.param]
#Column	B_1500Mag	(F6.2)	[-22.7/-15] Lower 68% confidence boundary in 1500Mag	[ucd=stat.fit.param]
_RAJ2000;_DEJ2000;ID;HRG14;RAJ2000;DEJ2000;zphot;b_zphot;B_zphot;1500Mag;b_1500Mag;B_1500Mag
deg;deg; ; ;deg;deg; ; ; ;mag;mag;mag
------------;------------;-------------------;-------------------------;----------;----------;-----;-----;-----;------;------;------
053.12903194;-27.77220889;z4_GSD_7082        ;HRG14 J033230.97-274620.0;053.129032;-27.772209; 2.83; 1.30; 4.33;-17.80;-18.37;-17.25
053.10157389;-27.80856306;z4_GSD_18977       ;HRG14 J033224.38-274830.8;053.101574;-27.808563; 3.13; 1.25; 4.51;-17.86;-18.29;-16.94
053.10408389;-27.81275389;z4_GSD_20362       ;HRG14 J033224.98-274845.9;053.104084;-27.812754; 3.23; 3.10; 4.38;-18.93;-19.51;-18.63
053.03509500;-27.78334389;z4_GSD_10712       ;HRG14 J033208.42-274700.0;053.035095;-27.783344; 3.28; 0.86; 4.50;-16.96;-17.43;-16.00
053.08642194;-27.84164000;z4_GSD_29649       ;HRG14 J033220.74-275029.9;053.086422;-27.841640; 3.30; 2.10; 4.08;-18.27;-18.93;-18.12
053.18514306;-27.81915694;z4_GSD_22454       ;HRG14 J033244.43-274909.0;053.185143;-27.819157; 3.36; 1.39; 4.79;-16.82;-17.04;-15.79
053.19340111;-27.77163306;z4_GSD_6818        ;HRG14 J033246.42-274617.9;053.193401;-27.771633; 3.43; 0.61; 3.86;-19.10;-19.53;-18.92
053.19379000;-27.77129000;z4_GSD_6816        ;HRG14 J033246.51-274616.6;053.193790;-27.771290; 3.45; 3.15; 3.66;-20.56;-20.81;-20.55
053.10800194;-27.85050806;z4_GSD_31890       ;HRG14 J033225.92-275101.8;053.108002;-27.850508; 3.46; 0.47; 4.04;-18.65;-19.21;-18.56
053.12508389;-27.81031000;z4_GSD_19630       ;HRG14 J033230.02-274837.1;053.125084;-27.810310; 3.46; 0.98; 4.11;-18.88;-19.32;-18.47
053.09855306;-27.81129611;z4_GSD_19932       ;HRG14 J033223.65-274840.7;053.098553;-27.811296; 3.46; 0.47; 3.75;-19.42;-19.77;-19.26
053.20070306;-27.77273806;z4_GSD_8172        ;HRG14 J033248.17-274621.9;053.200703;-27.772738; 3.48; 0.36; 3.68;-20.53;-20.79;-20.45
053.07069806;-27.83206194;z4_GSD_26635       ;HRG14 J033216.97-274955.4;053.070698;-27.832062; 3.48; 0.37; 3.70;-18.18;-18.44;-18.02
053.08599500;-27.85899889;z4_GSD_33664       ;HRG14 J033220.64-275132.4;053.085995;-27.858999; 3.49; 0.37; 3.64;-20.14;-20.33;-20.06
053.11475806;-27.86855694;z4_GSD_35159       ;HRG14 J033227.54-275206.8;053.114758;-27.868557; 3.49; 0.47; 3.64;-20.34;-20.54;-20.29
053.07228500;-27.87998389;z4_GSD_36199       ;HRG14 J033217.35-275247.9;053.072285;-27.879984; 3.49; 3.06; 3.96;-19.94;-20.31;-19.51
053.20480694;-27.80623111;z4_GSD_18354       ;HRG14 J033249.15-274822.4;053.204807;-27.806231; 3.50; 0.39; 3.72;-18.48;-18.67;-18.24
